Name,Category,Instagram,TikTok,YouTube,Twitter,Context,Notes
"@EthanGamer","Celebrity","651.2K","","","","Uber",""
"@rianne.meijer","Sports","","","","","Oscar",""
"@skincarebyhyram","Beauty","","","","","Oscar",""
"@breadfaceblog","Beauty","","","","","Oscar",""
"@mollybaz","Beauty","","","","","Oscar",""
"@theannmariejohn","Beauty","","","","","Oscar",""
"@awkwafina","Beauty","","","","","Oscar",""
"@LilylouTay","Food","211k","","","","PHILLY",""
"@giovannasulahian","Food","","","","","Philly",""
"@kaylacappiello","Food","","","","","Philly",""
"@chefkolbykash","Food","","","","","Philly",""
"@thesheyspence","Food","","","","","Philly",""
"@justaddhotsauce","Food","","","","","Philly",""
"@mommailena","Food","","","","","Philly",""
"@foodbyjenn","Food","","","","","Philly",""
"@bradleysperry","Food","","","","","Philly",""
"@wannabechefmatt","Food","","","","","Philly",""
"@leahscucina","Food","","","","","Philly",""
"@_Yes_but","General","","","","","PHILLY",""
"@nat.alise","Parenting","","","","","PHILLY",""
"@twinsplusthree","Gaming","","","","","PHILLY",""
"@nadirah.p","General","","","","","PHILLY",""
"@alpha.trans","General","","","","","PHILLY",""
"@celestial_investments","Music","","","","","PHILLY",""
"@deealvarado","Music","","","","","PHILLY",""
"@virghoe_xoxo","Fashion","","","","","PHILLY",""
"@blacksand.surf","General","","","","","PHILLY",""
"@fatsdabarber","General","","","","","PHILLY",""
"@nicolemclaughlin","Fashion","","","","","PHILLY",""
"@queerbrownvegan","General","","","","","PHILLY",""
"@djshu_g","General","","","","","PHILLY",""
"@the_object","General","","","","","PHILLY",""
"@macroroom","General","","","","","PHILLY",""
"@dnieccio","Fashion","","","","","PHILLY",""
"@anthonyhaynes","General","","","","","PHILLY",""
"@inesisaias","Fashion","","","","","PHILLY",""
"@badcatclub_","Fashion","","","","","PHILLY",""
"@gmail.com","General","","","","","PHILLY",""
"@marathontraining.tv","General","","","","","PHILLY",""
"@lamarathon.com","General","","","","","PHILLY",""
"@cararuns.org","General","","","","","PHILLY",""
"@dallasrunningclub.com","General","","","","","PHILLY",""
"@thewrrc.com","General","","","","","PHILLY",""
"@arizonaroadracers.com","General","","","","","PHILLY",""
"@portlandfit.com","General","","","","","PHILLY",""
"@austinrunners.org","General","","","","","PHILLY",""
"@gilbertsgazelles.com","General","","","","","PHILLY",""
"@houstonstriders.org","General","","","","","PHILLY",""
"@runclubnetwork.com","General","","","","","PHILLY",""
"@baa.org","General","","","","","PHILLY",""
"@sfrrc.org","General","","","","","PHILLY",""
"@uka.org.uk","General","","","","","PHILLY",""
"@srrc","General","","","","","PHILLY",""
"@runinfinland.fi","General","","","","","PHILLY",""
"@Chucksflavortrain","Food","161k","","","","PHILLY",""
"@kimmyskreations.1","Food","1.5M","","","","PHILLY",""
"@ChefJamika","Food","34.7k","","","","PHILLY",""
"@Cooking_with_fire__","Food","926k","","","","PHILLY",""
"@Mattpeterson_","Food","6M","","","","Oscar",""
"@Foodwithmichel","Food","6M","","","","Oscar",""
"@Delaneysayshello","Food","6M","","","","Oscar",""
"@CorporateNatalie","Food","6M","","","","Oscar",""
"@Katstickler","Lifestyle","8.5M","","","","Oscar",""
"@audreytrullinger","Lifestyle","8.5M","","","","Oscar",""
"@Hannahg11","Lifestyle","8.5M","","","","Oscar",""
"@Katieemo","Lifestyle","8.5M","","","","Oscar",""
"@valynciapage","Parenting","1.5M","","","","Oscar",""
"@alyssacronin13","Parenting","1.5M","","","","Oscar",""
"@caro","Parenting","1.5M","","","","Oscar",""
"@destoo333","Parenting","1.5M","","","","Oscar",""
"@michipichi","Parenting","1.5M","","","","Oscar",""
"@iofficialnadiya","Parenting","1.5M","","","","Oscar",""
"@iamjhud","Parenting","1.5M","","","","Oscar",""
"@ikebarinholtz","Parenting","1.5M","","","","Oscar",""
"@daniellanartey","Parenting","1.5M","","","","Oscar",""
"@johannes2o","Parenting","1.5M","","","","Oscar",""
